address,TOTAL_LOSS_HBAR
0x000000000000000000000000000000000077abeb,3742.0
0x000000000000000000000000000000000077adc2,44904.0
0x000000000000000000000000000000000077c0e1,2382.1005799575
0x000000000000000000000000000000000077c7d9,3742.0
0x000000000000000000000000000000000077fd8d,6900.879652618801
0x00000000000000000000000000000000007871ad,0.6904136934000001
0x000000000000000000000000000000000078a757,19750.0
0x000000000000000000000000000000000078a78b,1871.0
0x000000000000000000000000000000000078a9b3,98.12982719760001
0x000000000000000000000000000000000078a9c8,12433.98116443
0x000000000000000000000000000000000078e975,0.47596370000000005
0x0000000000000000000000000000000000790829,147396.0
0x0000000000000000000000000000000000792693,0.001316
0x0000000000000000000000000000000000794984,1456.865739315
0x0000000000000000000000000000000000799b29,100.08153437
0x000000000000000000000000000000000079f1f6,1871.0
0x00000000000000000000000000000000007a47ca,2170.0930160199996
0x00000000000000000000000000000000007a944e,0.01353314
0x00000000000000000000000000000000007b7342,96.33038054
0x00000000000000000000000000000000007b734b,25.9448441
0x00000000000000000000000000000000007ba1a6,30.0722616152
0x00000000000000000000000000000000007bdd8c,24323.0
0x00000000000000000000000000000000007c09a3,264.0
0x00000000000000000000000000000000007c12fc,3519.3859388769997
0x00000000000000000000000000000000007c407b,13097.0
0x00000000000000000000000000000000007c4135,634.27141584
0x00000000000000000000000000000000007c52e1,7716.6724518539995
0x00000000000000000000000000000000007c7d93,4050.0
0x00000000000000000000000000000000007c867c,76.7973905944
0x00000000000000000000000000000000007cd388,136576.125
0x00000000000000000000000000000000007cd759,119000.0
0x00000000000000000000000000000000007cf9aa,172.65597584
0x00000000000000000000000000000000007cfe92,650.00035862
0x00000000000000000000000000000000007d0777,1960.0
0x00000000000000000000000000000000007d0f59,660.0
0x00000000000000000000000000000000007d2068,0.7412498
0x00000000000000000000000000000000007d331c,1000.0
0x00000000000000000000000000000000007d443d,7009.518271
0x0d8bf125a37a143db9ee1992490640bb8e97d8b8,12608.53313994
0x4cfb6094446c3e086d3d2636b1a2f19628d4714b,24660.703873470506
0x4dc389b40e960cd0d011f28419bb3da5f00d4937,15940.864271504299
0x66c71463f98013dcea824b89ecaca58e6f09c0fd,35.001846130000004
0x8c788e5907489a0110bf6eb8a6931f1eae048a6c,115388
0x927b4e5fe3750123488e3bc6c8aa4515d6044a9a,1629.9966085
0x9692aa6a9b08ed6b10a802dc13c2fffdd49708f7,1293.196984875
0x9cd4a76ad8ee084e6cfd6891dd0d5a410562abbe,0.0
0xa924468e8a1ec92b088b65fb340dde454726cc66,14800.905015082499
0xc77cbbaead55c25f8a589d748f26bb8e77f69cb9,2.82766232
0xc845be4bc13e0efe275b4a344cf03561a9a80b5e,46.0
0xca77ca38eb8bb5f8acc391cf2db774d6702d174b,2640.0
0xd12149b79f4320e1df0355786af32bcea77d4476,0.00450166
0xda9b073dfd6b115efe1cac0c58c8a1a62f75ad76,21855
0xdb6c42a2baa04055f26c9f33b5dd08e3b4041ba9,19986
