hedera_id;HBAR_VALUE_HBAR;HBARX_VALUE_HBAR;HSUITE_VALUE_HBAR;SAUCE_VALUE_HBAR;XSAUCE_VALUE_HBAR;PACK_VALUE_HBAR;USDC_VALUE_HBAR;NEBULA_GENESIS_VALUE_HBAR;COSMIC_CYPHERS_VALUE_HBAR;TOTAL_LOSS_HBAR
0.0.4559235;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0
0.0.4561175;0.0;0.0;30780.75;0.0;0.0;0.0;0.0;0.0;0.0;30780.75
0.0.4573890;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18710.0;18710.0
0.0.4576167;260.0;0.0;0.0;0.0;93.01112005499999;0.0;0.0;0.0;0.0;353.011120055
0.0.4591759;0.0;0.0;8579.2469203875;0.0;0.0;0.0;-1050.0;0.0;0.0;7529.246920387501
0.0.4595969;2800.00000001;0.0;0.0;0.0;3180.19440249;2243.93218462;-3434.5384745;0.0;0.0;4789.588112619999
0.0.4607653;0.0;0.0;0.0;100.98314874;0.0;0.0;0.0;0.0;0.0;100.98314874
0.0.4615491;78.46452561;0.0;100.90513454250001;0.0;0.0;0.0;0.0;0.0;0.0;179.3696601525
0.0.4615531;2000.0;0.0;0.0;0.0;439.91779607999996;0.0;0.0;0.0;0.0;2439.91779608
0.0.4641568;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;114131.0;114131.0
0.0.4695025;0.0;152.2552155036;61.782118335;0.0;0.0;0.0;0.0;0.0;0.0;214.0373338386
0.0.4701500;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;39291.0;138041.0
0.0.4758385;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1200.0
0.0.4812294;0.0;0.0;0.0;439.3328476500001;0.0;0.0;0.0;0.0;0.0;439.3328476500001
0.0.4822391;0.0;0.0;0.0;0.0;0.0;0.0;350.0;0.0;0.0;350.0
0.0.4843176;6000.0;0.0;1755.5697937575;0.0;1928.3355885150002;0.0;0.0;0.0;0.0;9683.9053822725
0.0.4858116;160.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;160.0
0.0.4870694;2810.00000002;1495.7388144072002;3072.80939091;12142.370395890002;11854.147540095;-15927.573952297;280545.156584;0.0;155293.0;451285.6487730252
0.0.4904643;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11226.0;11226.0
0.0.4912708;10000.0;0.0;208.72534692000002;0.0;0.0;0.0;-4674.8574775;0.0;0.0;5533.867869420001
0.0.4923080;0.38813223;0.0;0.0;15.930000000000001;0.0;0.0;0.0;0.0;0.0;16.31813223
0.0.4957513;0.0;0.0;0.0;1379.7;0.0;833.0;0.0;0.0;0.0;2212.7
0.0.4958794;0.0;0.0;0.0;8100.000000000001;27720.0;0.0;0.0;19750.0;39291.0;94861.0
0.0.5106932;16225.72235672;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16225.72235672
0.0.5129884;650.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;650.0
0.0.5146064;450.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;450.0
0.0.5162300;675.37844807;0.0;0.0;0.0;0.0;0.0;773.3083855;0.0;0.0;1448.68683357
0.0.5171340;4425.0;889.6800000000001;0.0;29.970000000000002;0.0;0.0;0.0;0.0;0.0;5344.650000000001
0.0.5186347;602.94425821;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;602.94425821
0.0.5195606;0.0;0.0;0.0;5537.796542010001;0.0;0.0;0.0;0.0;0.0;5537.796542010001
0.0.5285066;300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300.0
0.0.5570978;599.61604517;0.0;0.0;889.85445507;0.0;0.0;0.0;0.0;0.0;1489.47050024
0.0.5700356;0.0;0.0;0.0;0.0;0.0;0.0;148.7452295;0.0;0.0;148.7452295
0.0.5704457;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9355.0;9355.0
0.0.5765172;0.0;0.0;0.0;0.0;0.0;0.0;2100.0;0.0;0.0;2100.0
0.0.6002813;1355.83578589;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1355.83578589
0.0.6026822;218365.0;0.0;0.0;0.0;0.0;0.0;-38389.3949775;0.0;1871.0;181846.6050225
0.0.6063096;800.0;0.0;0.0;0.0;0.0;0.0;700.153594;0.0;0.0;1500.153594
0.0.6068342;0.0;0.0;0.0;0.5511734100000001;0.0;0.0;0.0;0.0;0.0;0.5511734100000001
0.0.6194066;3000.0;0.0;3455.747924955;0.0;0.0;0.0;0.0;0.0;0.0;6455.747924955
0.0.6447830;0.0;0.0;38547.4515164025;0.0;0.0;0.0;0.0;0.0;0.0;38547.4515164025
0.0.7060192;0.0;0.0;0.0;0.0;1821.2867476650001;0.0;0.0;0.0;0.0;1821.286747665
0.0.7131424;30.0;0.0;0.0;0.0;0.0;0.0;-24.614653;0.0;0.0;5.385346999999999
0.0.7155902;39000.0;0.0;34079.4474410475;-3375.33692652;24235.18759242;3621.71681214;11040.877407;0.0;1871.0;110472.89232608749
0.0.7191408;45785.86975782;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45785.86975782
0.0.7222630;102.99200242;-0.6330191208;0.0;0.25383024;17579.755974375003;0.0;0.0;0.0;0.0;17682.3687879142
0.0.7377923;69.45155819;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69.45155819
0.0.7483944;65.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.0
0.0.7504500;675.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;675.0
0.0.7577418;1503.48223673;0.0;15.481580115000002;0.0;36.612420705;0.0;0.0;0.0;0.0;1555.57623755
0.0.7601470;1300.0;0.0;0.0;0.0;0.0;0.0;-525.178045;0.0;0.0;774.821955
0.0.7627197;110.22152939;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110.22152939
0.0.7687902;400.0;0.0;0.0;0.0;0.0;0.0;0.0;19750.0;5613.0;25763.0
0.0.7715516;8.73137312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.73137312
0.0.7763952;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37420.0;37420.0
0.0.7770246;43350.45133108;-0.0379698396;1558.892859255;-0.047679030000000004;-0.71222193;-0.026739181;-18.327921500000002;0.0;1871.0;46761.191658854405
0.0.7785180;0.0;0.0;0.0;4870.6264807200005;0.0;0.0;0.0;0.0;0.0;4870.6264807200005
0.0.7807171;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7484.0;7484.0
0.0.7811830;300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300.0
0.0.7821112;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9355.0;9355.0
0.0.7840939;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5613.0;5613.0
0.0.7842795;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3742.0;3742.0
0.0.7843266;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44904.0;44904.0
0.0.7848161;-0.00768513;0.0;2382.1082650875;0.0;0.0;0.0;0.0;0.0;0.0;2382.1005799575
0.0.7849945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3742.0;3742.0
0.0.7863693;0.0;6900.8450621088;0.0;0.034590510000000005;0.0;0.0;0.0;0.0;0.0;6900.879652618801
0.0.7893421;2.0067558;-1.3163210016;0.0;0.0;-2.1105000000000002e-05;0.0;0.0;0.0;0.0;0.6904136934000001
0.0.7907159;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19750.0;0.0;19750.0
0.0.7907211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0.0.7907763;0.0;98.12982719760001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.1298271976
0.0.7907784;12433.98116443;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12433.98116443
0.0.7924085;-0.0048838;0.0;0.0;0.0;0.0;0.0;0.48084750000000004;0.0;0.0;0.4759637
0.0.7931945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;48646.0;147396.0
0.0.7939731;0.001316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001316
0.0.7948676;0.0;0.0;1456.865739315;0.0;0.0;0.0;0.0;0.0;0.0;1456.865739315
0.0.7969577;100.08153437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.08153437
0.0.7991798;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0.0.8013770;2170.00000002;0.0;0.0;0.0;0.0;0.0;0.093016;0.0;0.0;2170.0930160199996
0.0.8033358;0.01353314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01353314
0.0.8090434;96.33038054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;96.33038054
0.0.8090443;25.9448441;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.9448441
0.0.8102310;9.85049573;20.2217658852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0722616152
0.0.8117644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24323.0;24323.0
0.0.8128931;264.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;264.0
